pa,爸,father
ma,媽,mother
ang,尪,husband
bo,某,wife
ht,兄弟,brother
ko,哥,elder brother
ti,小弟,younger brother
cm,姊妹,sister
ci,姊,elder sister
moy,小妹,younger sister
hs1,大漢後生,elder son
cw1,大漢자와,elder daughter
hs,後生,son
cw,자와,daughter
hscw,囝,children
hs2,細漢後生,younger son
cw2,細漢자와,younger daughter
