No.,English,华语,推薦,漢字,音字正讀,台羅正讀,台羅簡,Taiji
166,smoke,烟,煙,煙,옌·,ian,ian,yen1
167,fire,火,火,火,회ˊ,hué,hue,hoay4
168,ash,灰,烌,烌,후·,hu,hu,hoo1
169,to burn,烧,燒,燒,쇼·,sio,sio,seo1
170,road,路,路,路,러-,lōo,loo,lor33
171,mountain,山,山,山,솨ᇫ·,suann,suann,snua1
172,red,红,紅,紅,앙ˆ,âng,ang,ang2
173,green,青,青,青,체ᇫ·,tshenn,tshenn,chnae1
174,yellow,黄,黃,黃,위ᇫˆ,uînn,uinn,unwee2
175,white,白,白,白,벻',pe̍h,peh,paek1
176,black,黑,烏,烏,어·,oo,oo,or1
177,night,晚上,暗暝,暗暝,암ˋ메ˆ,àm-mê,am me,am1mae2
178,day,白天,日時,日時,찓’시ˆ,ji̍t—sî,jit si,jit1see2
179,year,年,年,年,니ˆ,nî,ni,nee2
180,warm,热,熱,熱,쫳',jua̍h,juah,juak1
181,cold,冷,冷,冷,릥ˊ,léng,leng,leng4
182,full,满,滿,滿,뫄ˊ,muá,mua,mua4
183,new,新,新,新,신·,sin,sin,sin1
184,old,旧,舊,舊,구-,kū,ku,koo33
185,good,好,好,好,호ˊ,hó,ho,ho4
186,bad,坏,歹,歹,패ᇫˊ,pháinn,phainn,phnai4
187,rotten,烂,爛,爛,놔-,nuā,nua,nua33
188,dirty,肮脏,라삼ˆ,儖儳,라·삼ˆ,la-sâm,la sam,la3sam2
189,straight,直,直,直,딛',ti̍t,tit,tit1
190,round,圆,圓,圓,이ᇫˆ,înn,inn,inee2
191,sharp (as a knife),尖,尖,尖,쟘·,tsiam,tsiam,ciam1
192,dull (as a knife),钝,鈍,鈍,둔-,tūn,tun,toon33
193,smooth,滑,滑,滑,굳',ku̍t,kut,koot1
194,wet,湿,澹,澹,담ˆ,tâm,tam,tam2
195,dry,干,焦,焦,다·,ta,ta,ta1
196,correct,对,著,著,둏',tio̍h,tioh,teok1
197,near,近,近,近,긴-,kīn,kin,kin33
198,far,远,遠,遠,휘ᇫ-,huīnn,huinn,hnwee33
199,right,右边,正手,正手,쟈ᇫˋ츄ˊ,tsiànn-tshiú,tsiann tshiu,cnia1chew4
200,left,左边,倒手,倒手,도ˊ츄ˊ,tò-tshiú,to tshiu,to1chew4
201,at,在,佇,佇,디ˋ,tì,ti,tee3
202,in,里面,裡面,裡面,래-삔-,lāi-bīn,lai bin,lai33bin33
203,with,与,가,共,가ˋ,kà,ka,ka3
204,and,和,가,共,가ˋ,kà,ka,ka3
205,if,如果,若是,若是,나-시-,nā-sī,na si,na33see33
206,because,因为,因為,因為,인·위-,in-uī,in ui,in3wee33
207,name,名字,名,名,먀ˆ,miâ,mia,mia2
